Rgn;Half;Date;UID;EU;Nat;Interested;P1;P2;Rt1;Pt1;RtG;PtG;Position;Age;Name;Av_Rat;Club;Division;Based;Apps;Starts;Gls;Ast;PoM;Mins;GK%;DFg%;DFa%;xGP/90;CS/90;Gls_Conc/90;Hdrs_W/90;Hd%;Blocks/90;Intcp/90;Clear/90;Press_C/90;PAS%;OP-KP/90;CCC/90;Pr_Pas/90;xA/90;Pas_C/90;Ps%;DRB%;ST%;Drb/90;Cr_C/90;Cr%;NP-xG/90;Gls/90;NP-xG/Shot;Sht_T/90;Sprints/90;Fls_Ag/90;Value;Wage;Expires;Det;Prof;Amb;Acc;Pac;Height;Personality;GK%t;DFg%t;DFa%t;PAS%t;DRB%t;ST%t;Mins_t
EU;Mid;30/11/2023;143895;Yes;FRA;1;GK;CB;57,4;0,0;67,6;67,5;GK;40;Ludovic Butelle;6,75;Stade de Reims;Ligue 1;France;16;10;0;0;0;684;0,645;0,0;0,0;0,49;0,53;1,05;0,0;0;0,0;0,0;0,0;0,0;0,482;0,0;0,0;0,0;0,0;12,63;48;0,39;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,39;22000;2800;30/06/2024;12_16;14;14;6_9;7_10;188;;0,645;0,0;0,0;0,0;0,39;0,0;1368
EU;Mid;30/11/2023;151741;No;SCO;0;LW;RW;75,3;77,8;75,3;77,8;WB (L), M/AM (RL);33;Matt Ritchie;6,6;Newcastle;Premier League;England;8;0;0;0;0;36;0,66;0,0;0,0;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;11,126;5,0;0,0;5,0;0,28;27,5;85;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;800000;226000;30/06/2024;14;10;13;11;11;172;Balanced;0,66;0,0;0,0;10,27;0,0;0,0;72
EU;Mid;30/11/2023;156772;Yes;GER;0;CM;DM;82,1;0,0;84,3;84,9;DM, M (C);33;Toni Kroos;7,03;Real Madrid;LaLiga;Spain;108;102;8;10;4;3346;0,703;7,4;9,895;0,0;0,0;0,0;2,07;43;0,46;1,48;0,46;5,0;8,658;1,72;0,19;5,78;0,11;53,04;86;5,30256;0,754;0,91;2,29;22;0,06;0,11;0,086;0,35;8,96;0,89;25500000;1558000;30/06/2024;10;15;14;11;11;183;Fairly Professional;0,703;7,4;9,47;7,8;5,08556;0,61;6692
EU;Mid;30/11/2023;167576;Yes;FRA;1;RW;LW;59,2;0,0;73,7;74,8;AM (RLC);32;Michaël Barreto;6,67;Ajaccio;Ligue 1;France;58;2;0;0;0;619;0,667;6,26;8,415;0,0;0,0;0,0;1,89;27;0,44;1,02;0,58;4,22;4,896;0,87;0,29;2,76;0,13;28,06;85;7,657;0,297;2,62;2,91;14;0,07;0,0;0,077;0,15;11,34;0,73;450000;5000;30/06/2025;12_15;10;13;9_13;12_15;175;;0,667;6,26;8,15;4,05;7,52;0,3;1238
EU;Mid;30/11/2023;168222;Yes;NED;1;CM;LW;59,2;0,0;73,4;75,1;M/AM (LC);31;Mats Seuntjens;6,68;Utrecht;Eredivisie;Netherlands;54;0;2;2;0;468;0,668;5,76;10,351;0,0;0,0;0,0;3,85;74;0,38;0,77;0,38;4,23;8,008;1,15;0,0;5,96;0,03;49,23;87;3,01;1,156;0,38;0,0;0;0,28;0,19;0,181;0,38;9,81;1,54;1200000;10750;30/06/2024;9_12;10;11;10_14;9_13;187;;0,668;5,76;9,61;7,14;3,01;1,03;936
EU;Mid;30/11/2023;168233;Yes;NED;1;DM;RB;58,5;0,0;71,8;74,5;DM, M (C);30;Joey Pelupessy;6,82;Groningen;Eredivisie;Netherlands;66;66;4;8;2;2767;0,682;6,57;11,253;0,0;0,0;0,0;4,0;68;0,62;1,46;0,62;3,87;5,966;0,85;0,2;3,94;0,1;45,5;88;3,35856;0,65;0,72;0,03;33;0,09;0,07;0,206;0,13;11,12;1,04;2000000;17250;30/06/2025;13_16;7;13;8_11;11_15;179;;0,682;6,57;10,57;5,09;3,02556;0,5;5534
EU;Mid;30/11/2023;168288;Yes;NED;1;CB;RB;62,6;0,0;76,7;77,2;D (C);29;Robin Pröpper;6,74;Twente;Eredivisie;Netherlands;70;66;0;0;2;2937;0,674;6,95;14,752;0,0;0,0;0,0;7,05;75;0,58;3,31;1,41;1,65;4,86;0,15;0,03;3,8;0,03;55,56;85;1,39633;0,172;0,12;0,03;14;0,04;0,0;0,102;0,03;5,52;0,49;3300000;9500;30/06/2024;11_14;12;11;10_14;10_14;190;;0,674;6,95;14,0;4,01;1,25333;0,17;5874
EU;Mid;30/11/2023;168299;Yes;NED;1;GK;CB;60,1;0,0;68,4;69,0;GK;29;Hidde Jurjus;6,4;Groningen;Eredivisie;Netherlands;4;0;0;0;0;76;-0,88;0,0;0,0;-0,33;1,18;2,37;0,0;0;0,0;0,0;0,0;0,0;0,65;0,0;0,0;0,0;0,0;15,39;65;2,37;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;2,37;575000;8750;30/06/2025;15_19;5;9;11_14;11_14;189;;-0,88;0,0;0,0;0,0;2,37;0,0;152
EU;Mid;30/11/2023;211232;No;TOG;1;RB;LB;74,2;0,0;78,9;83,8;D (RC);31;Djéné Dakonam;6,85;Getafe;LaLiga;Spain;80;80;0;4;6;3598;0,685;6,03;12,369;0,0;0,0;0,0;5,65;69;0,45;2,73;1,1;1,75;5,832;0,25;0,08;4,55;0,07;60,01;88;1,30222;0,148;0,23;0,0;0;0,02;0,0;0,098;0,03;5,6;0,45;348000000;123000;30/06/2025;10;12;14;16;13_16;178;;0,685;6,03;11,68;4,95;1,30222;0,15;7196
EU;Mid;30/11/2023;211515;Yes;FRA;1;RW;CM;68,0;0,0;80,6;81,3;DM, M/AM (C);28;Baptiste Santamaria;7,02;Rennes;Ligue 1;France;92;82;8;14;4;3587;0,702;6,75;9,307;0,0;0,0;0,0;2,06;50;0,38;1,43;0,45;4,49;7,009;1,51;0,28;4,19;0,18;43,98;85;3,70989;0,829;0,93;0,18;24;0,13;0,1;0,096;0,43;10,16;1,23;8500000;65000;30/06/2025;15_18;14;15;12_15;12_16;183;;0,702;6,75;8,81;6,16;3,46889;0,76;7174
