"Unique ID";"EU Member";"Nation";"Position";"Age";"Name";"Club";"Best Rating";"Best Pot Rating";"PoD";"Value";"Wage";"GK Rating";"DC Rating";"DR Rating";"DL Rating";"DM Rating";"MC Rating";"AMC Rating";"AMR Rating";"AML Rating";"FS Rating";"TS Rating";"GK Pot Rating";"DR Pot Rating";"DC Pot Rating";"DL Pot Rating";"DM Pot Rating";"MC Pot Rating";"AMR Pot Rating";"AMC Pot Rating";"AML Pot Rating";"FS Pot Rating";"TS Pot Rating"
"29173977";"No";"England / Jamaica";"D/WB R";"22";"Aarons, Max";"Bournemouth";"81.8% (FB)";"84.5% (FB)";"69%";"19.622.860";"35.000";"46.60%";"62.83%";"81.78%";"79.83%";"62.49%";"61.91%";"61.17%";"65.05%";"65.05%";"58.83%";"57.26%";"48.05%";"84.46%";"64.96%";"82.45%";"64.89%";"64.28%";"67.21%";"63.16%";"67.21%";"60.70%";"59.11%"
"20046423";"No";"United States";"AM RC";"21";"Aaronson, Brenden";"Union Berlin";"77.4% (W)";"82.5% (W)";"52%";"39.921.460";"40.000";"43.45%";"58.22%";"62.65%";"62.65%";"59.67%";"75.09%";"75.60%";"77.35%";"76.27%";"58.95%";"57.68%";"46.46%";"66.75%";"62.24%";"66.75%";"63.83%";"80.10%";"82.52%";"80.36%";"81.36%";"62.52%";"61.25%"
"2000037579";"No";"United States";"AM LC, F C";"18";"Aaronson, Paxten";"Frankfurt";"64.4% (W)";"68.6% (W)";"75%";"1.927.570";"1.270";"36.56%";"49.25%";"51.86%";"51.86%";"51.72%";"63.11%";"62.99%";"63.46%";"64.44%";"61.01%";"58.98%";"39.13%";"55.18%";"52.54%";"55.18%";"54.63%";"66.57%";"67.56%";"66.89%";"68.60%";"64.72%";"62.71%"
"2000111471";"Yes";"Uruguay / Germany";"AM RLC";"18";"Abaldo, Matías";"Gimnasia (LP)";"69.7% (W)";"82.2% (W)";"29%";"859.030";"810";"38.40%";"51.54%";"53.85%";"53.85%";"51.80%";"53.25%";"66.27%";"69.71%";"69.16%";"62.41%";"60.97%";"45.33%";"63.72%";"61.23%";"63.72%";"62.10%";"63.21%";"82.23%";"77.77%";"81.58%";"72.86%";"71.42%"
"78060231";"Yes";"Uruguay / Spain";"D C";"28";"Abascal, Rodrigo";"Boavista";"74.0% (CB)";"74.3% (CB)";"100%";"191.350";"1.680";"43.55%";"73.98%";"59.64%";"72.77%";"68.76%";"55.88%";"55.19%";"58.42%";"62.49%";"52.83%";"53.52%";"43.74%";"59.83%";"74.31%";"73.01%";"69.21%";"56.22%";"58.59%";"55.35%";"62.67%";"52.96%";"53.67%"
"62201254";"No";"Ghana";"AM RL, ST";"23";"Abass, Issah";"Desportivo Chaves";"72.1% (W)";"74.4% (W)";"100%";"348.740";"2.160";"40.04%";"52.34%";"56.51%";"56.51%";"54.33%";"56.52%";"67.10%";"70.76%";"72.15%";"67.88%";"66.54%";"41.32%";"58.27%";"54.07%";"58.27%";"55.91%";"58.09%";"72.96%";"69.06%";"74.39%";"69.85%";"68.51%"
"85122308";"Yes";"Morocco / France";"D C";"34";"Abdelhamid, Yunis";"Stade de Reims";"73.1% (CB)";"74.8% (CB)";"100%";"363.670";"15.870";"45.68%";"73.14%";"57.40%";"57.40%";"56.29%";"54.69%";"51.76%";"55.41%";"55.41%";"48.82%";"50.39%";"47.10%";"58.72%";"74.82%";"58.72%";"56.29%";"54.69%";"56.83%";"53.14%";"56.83%";"50.21%";"51.78%"
"48043489";"Yes";"Algeria / France";"AM C";"22";"Abdelli, Himad";"Angers";"72.8% (M)";"77.2% (M)";"60%";"998.210";"820";"44.39%";"58.69%";"59.10%";"59.10%";"68.70%";"72.85%";"71.82%";"70.86%";"71.76%";"55.26%";"55.32%";"46.94%";"62.67%";"62.16%";"62.67%";"72.90%";"77.20%";"75.22%";"76.00%";"76.18%";"58.39%";"58.43%"
"2000199310";"Yes";"Netherlands / Morocco";"D LC, DM";"16";"Abdelwajid, Naoufal";"Heerenveen";"61.6% (CB)";"69.9% (CB)";"37%";"207.500";"90";"34.87%";"61.57%";"49.11%";"60.95%";"58.58%";"47.40%";"46.63%";"49.50%";"49.50%";"45.02%";"44.95%";"39.82%";"55.80%";"69.92%";"69.26%";"66.94%";"53.97%";"56.29%";"52.78%";"56.29%";"50.90%";"50.86%"
"2000019686";"Yes";"Sweden / Somalia";"AM RLC";"18";"Abdirahman Ahmed, Amar";"Troyes";"66.7% (W)";"80.3% (W)";"27%";"1.634.790";"560";"39.04%";"50.21%";"53.28%";"53.28%";"51.61%";"52.25%";"63.69%";"66.19%";"66.66%";"61.70%";"60.10%";"46.52%";"63.96%";"60.60%";"63.96%";"62.23%";"62.56%";"79.76%";"76.07%";"80.33%";"73.07%";"71.42%"
"49060803";"No";"Ghana";"DM";"22";"Abdul Samed, Salis";"Lens";"78.0% (DM)";"82.8% (DM)";"53%";"6.465.880";"11.470";"44.76%";"61.70%";"63.07%";"63.07%";"78.03%";"77.42%";"58.96%";"63.40%";"63.40%";"55.55%";"55.33%";"49.12%";"68.20%";"66.93%";"68.20%";"82.82%";"82.08%";"68.70%";"63.92%";"68.70%";"60.35%";"60.13%"
"20016296";"Yes";"Iran / Portugal";"GK";"29";"Abedzadeh, Amir";"Marítimo";"74.2% (GK)";"76.6% (GK)";"5%";"599.000";"2.590";"74.20%";"48.78%";"46.92%";"46.92%";"46.22%";"46.83%";"46.25%";"46.23%";"46.23%";"42.87%";"43.77%";"76.58%";"48.23%";"50.23%";"48.23%";"47.74%";"48.30%";"47.47%";"47.47%";"47.47%";"44.01%";"44.94%"
"85057862";"Yes";"France";"DM";"29";"Abergel, Laurent";"Lorient";"76.9% (FB)";"76.7% (FB)";"100%";"3.898.410";"10.950";"44.71%";"60.18%";"76.86%";"75.89%";"76.10%";"76.43%";"59.84%";"70.65%";"64.01%";"56.59%";"55.45%";"44.53%";"76.66%";"60.01%";"75.70%";"76.10%";"76.43%";"70.46%";"59.67%";"63.84%";"56.42%";"55.28%"
"14021140";"No";"Argentina";"ST";"32";"Ábila, Ramón";"Colón";"70.8% (TS)";"72.9% (TS)";"0%";"785.220";"14.190";"39.79%";"55.61%";"55.42%";"55.42%";"57.17%";"57.80%";"56.12%";"55.93%";"55.93%";"69.79%";"70.82%";"41.31%";"57.14%";"57.33%";"57.14%";"57.93%";"58.58%";"57.76%";"57.87%";"57.76%";"71.95%";"72.95%"
"49056366";"Yes";"France";"ST";"19";"Abline, Matthis";"Nantes";"66.3% (FS)";"77.2% (FS)";"25%";"3.790.790";"560";"41.02%";"53.40%";"54.76%";"54.76%";"53.69%";"54.39%";"54.36%";"56.20%";"56.20%";"66.34%";"65.63%";"47.93%";"64.24%";"62.68%";"64.24%";"62.95%";"63.55%";"65.80%";"63.45%";"65.80%";"77.18%";"76.43%"
"19386116";"No";"Brazil";"D/WB L";"22";"Abner Vinicius";"Real Betis";"81.3% (FB)";"83.1% (FB)";"100%";"9.892.940";"13.570";"45.62%";"61.11%";"65.01%";"81.27%";"61.94%";"62.01%";"61.22%";"65.68%";"72.90%";"59.76%";"58.81%";"46.72%";"66.52%";"62.58%";"83.15%";"63.40%";"63.46%";"67.20%";"62.60%";"74.59%";"61.08%";"60.14%"
"37065498";"Yes";"Morocco / Netherlands / Libya";"AM RL, ST";"22";"Aboukhlal, Zakaria";"Toulouse";"74.9% (W)";"79.5% (W)";"63%";"3.212.930";"4.860";"43.67%";"56.98%";"59.00%";"59.00%";"57.74%";"59.66%";"72.23%";"74.91%";"74.65%";"73.48%";"73.12%";"46.33%";"62.60%";"60.53%";"62.60%";"61.19%";"63.03%";"79.49%";"76.29%";"79.21%";"77.47%";"77.12%"
"93122978";"Yes";"Sweden / Eritrea";"AM RLC, F C";"19";"Abraham, Paulos";"Groningen";"67.9% (W)";"75.9% (W)";"48%";"4.827.930";"3.020";"39.10%";"50.40%";"53.92%";"53.92%";"51.58%";"63.27%";"65.45%";"67.47%";"67.95%";"64.91%";"63.36%";"43.76%";"60.23%";"56.63%";"60.23%";"57.92%";"70.61%";"75.40%";"72.65%";"75.93%";"71.75%";"70.25%"
"28097985";"No";"England / Nigeria";"ST";"24";"Abraham, Tammy";"Roma";"83.9% (TS)";"85.9% (TS)";"50%";"28.540.390";"95.660";"49.53%";"66.29%";"68.21%";"68.21%";"66.48%";"67.43%";"67.60%";"67.19%";"67.19%";"83.66%";"83.88%";"50.79%";"70.03%";"68.06%";"70.03%";"68.44%";"69.36%";"69.02%";"69.32%";"69.02%";"85.68%";"85.87%"
"14243663";"No";"Argentina";"DM, AM C";"22";"Abrego, Gonzalo";"Cremonese";"75.8% (M)";"80.0% (M)";"64%";"2.387.540";"510";"44.34%";"58.66%";"60.92%";"60.92%";"74.98%";"75.77%";"72.53%";"61.67%";"61.67%";"57.04%";"56.41%";"46.86%";"64.33%";"62.07%";"64.33%";"79.30%";"79.99%";"65.12%";"76.47%";"65.12%";"60.05%";"59.43%"
"2000095541";"Yes";"Turkey / Austria";"AM C";"16";"Acar, Emirhan";"Torino";"59.7% (M)";"69.1% (M)";"36%";"231.050";"650";"35.72%";"45.87%";"47.20%";"47.20%";"46.14%";"59.67%";"59.59%";"48.36%";"58.71%";"47.03%";"46.38%";"41.58%";"55.17%";"53.71%";"55.17%";"53.89%";"69.10%";"56.51%";"68.96%";"68.61%";"54.08%";"53.40%"
"43017499";"Yes";"Italy";"D C";"34";"Acerbi, Francesco";"Inter";"80.8% (CB)";"81.8% (CB)";"0%";"300.000.000";"55.210";"46.00%";"80.83%";"63.36%";"74.35%";"62.43%";"60.79%";"59.14%";"61.53%";"61.53%";"55.95%";"57.23%";"46.83%";"64.12%";"81.81%";"75.25%";"62.43%";"60.79%";"62.36%";"59.95%";"62.36%";"56.77%";"58.04%"
"14150752";"No";"Argentina";"AM RLC, F C";"25";"Acevedo, Jonás";"Instituto";"71.2% (W)";"72.5% (W)";"100%";"1.537.090";"870";"40.21%";"51.06%";"55.04%";"55.04%";"53.61%";"55.53%";"69.31%";"71.23%";"70.66%";"66.30%";"64.57%";"40.85%";"56.00%";"51.97%";"56.00%";"54.43%";"56.36%";"72.46%";"70.47%";"71.89%";"67.38%";"65.62%"
"78094472";"No";"Uruguay";"DM";"23";"Acevedo, Nicolás";"Bahia";"73.4% (DM)";"80.1% (DM)";"26%";"1.321.630";"2.520";"44.76%";"66.03%";"71.35%";"59.85%";"73.36%";"71.33%";"56.35%";"59.28%";"59.28%";"54.40%";"53.92%";"49.14%";"78.15%";"72.57%";"65.56%";"80.14%";"77.86%";"65.11%";"61.75%";"65.11%";"59.58%";"59.09%"
"14084972";"No";"Argentina";"DM, M RC";"34";"Acosta, Guillermo";"Atl. Tucumán";"76.8% (W)";"78.6% (W)";"100%";"300.000.000";"4.200";"41.09%";"57.80%";"72.82%";"59.98%";"75.03%";"74.28%";"67.15%";"74.57%";"66.33%";"55.99%";"55.21%";"42.51%";"74.42%";"59.14%";"61.30%";"75.03%";"74.28%";"76.29%";"68.75%";"67.87%";"57.39%";"56.60%"
"14001291";"No";"Argentina";"AM RL";"34";"Acosta, Lautaro";"Lanús";"78.4% (W)";"78.6% (W)";"0%";"300.000.000";"20.700";"42.95%";"55.82%";"61.61%";"61.61%";"60.27%";"61.24%";"72.59%";"78.18%";"78.45%";"71.03%";"68.23%";"43.07%";"61.72%";"55.93%";"61.72%";"60.27%";"61.24%";"78.33%";"72.72%";"78.60%";"71.18%";"68.37%"
"14108175";"No";"Argentina";"GK";"27";"Acosta, Lucas";"Lanús";"72.6% (GK)";"72.3% (GK)";"100%";"103.870";"7.140";"72.55%";"48.53%";"47.38%";"47.38%";"47.14%";"47.37%";"46.36%";"46.96%";"46.96%";"42.99%";"43.72%";"72.33%";"47.22%";"48.36%";"47.22%";"47.14%";"47.37%";"46.79%";"46.19%";"46.79%";"42.81%";"43.55%"
"14207326";"No";"Argentina";"GK";"20";"Acosta, Miguel";"Argentinos Jrs.";"65.0% (GK)";"72.9% (GK)";"33%";"894.460";"390";"65.00%";"41.06%";"37.01%";"37.01%";"38.32%";"38.41%";"36.45%";"37.76%";"37.76%";"34.75%";"35.89%";"72.87%";"41.52%";"45.91%";"41.52%";"42.78%";"42.77%";"42.15%";"40.79%";"42.15%";"38.72%";"39.95%"
"14044037";"No";"Argentina";"D/WB/AM L";"30";"Acuña, Marcos";"Sevilla";"84.7% (W)";"87.5% (W)";"3%";"19.591.640";"39.810";"46.48%";"73.44%";"66.33%";"82.92%";"77.55%";"77.48%";"75.63%";"82.53%";"84.38%";"60.12%";"58.73%";"48.15%";"68.54%";"76.02%";"85.68%";"80.02%";"79.87%";"85.26%";"78.08%";"87.16%";"62.08%";"60.69%"
"2000060967";"No";"Uruguay";"ST";"20";"Adamo, Valentín";"Botafogo";"62.8% (TS)";"68.3% (TS)";"53%";"73.260";"180";"38.07%";"50.37%";"50.06%";"50.06%";"48.79%";"49.27%";"49.23%";"49.71%";"49.71%";"62.31%";"62.85%";"41.56%";"54.86%";"55.07%";"54.86%";"53.43%";"53.86%";"54.58%";"53.84%";"54.58%";"67.82%";"68.33%"
"53167062";"No";"Nigeria";"AM R, ST";"22";"Adams, Akor";"Montpellier";"74.2% (TS)";"79.2% (TS)";"49%";"2.089.200";"700";"44.92%";"58.45%";"59.95%";"59.95%";"57.28%";"58.69%";"59.35%";"73.13%";"71.41%";"73.27%";"74.16%";"48.15%";"64.62%";"63.02%";"64.62%";"62.18%";"63.46%";"78.95%";"63.63%";"77.09%";"78.32%";"79.23%"
"90055302";"No";"Scotland / England / Antigua & Barbuda";"ST";"25";"Adams, Che";"Southampton";"76.9% (W)";"80.1% (W)";"100%";"9.651.620";"50.000";"45.70%";"60.67%";"63.09%";"63.09%";"63.05%";"63.58%";"75.52%";"76.91%";"76.91%";"76.09%";"75.68%";"47.98%";"65.58%";"63.17%";"65.58%";"64.24%";"64.72%";"80.06%";"78.54%";"80.06%";"79.13%";"78.71%"
"72044918";"No";"United States";"D/WB R, DM";"23";"Adams, Tyler";"Bournemouth";"81.9% (FB)";"85.8% (FB)";"61%";"22.763.880";"60.000";"47.76%";"63.26%";"81.90%";"80.65%";"80.27%";"79.95%";"61.46%";"78.29%";"65.67%";"58.63%";"57.79%";"50.59%";"85.82%";"66.48%";"84.52%";"82.76%";"82.38%";"82.26%";"64.55%";"69.00%";"61.67%";"60.82%"
"92057768";"Yes";"Armenia / Germany";"AM L, ST";"29";"Adamyan, Sargis";"FC Köln";"75.8% (W)";"76.7% (W)";"100%";"2.044.330";"10.780";"44.27%";"57.66%";"61.00%";"61.00%";"59.01%";"59.81%";"70.64%";"73.72%";"75.79%";"72.97%";"72.05%";"44.91%";"61.69%";"58.33%";"61.69%";"59.48%";"60.24%";"74.59%";"71.42%";"76.68%";"73.74%";"72.82%"
"7458290";"Yes";"Spain";"GK";"35";"Adán, Antonio";"Sporting";"77.3% (GK)";"77.1% (GK)";"0%";"997.700";"29.330";"77.35%";"51.13%";"48.82%";"48.82%";"49.32%";"47.86%";"46.84%";"47.19%";"47.19%";"43.94%";"44.88%";"77.12%";"48.65%";"50.96%";"48.65%";"49.32%";"47.86%";"47.01%";"46.67%";"47.01%";"43.76%";"44.71%"
"28100239";"No";"England / Nigeria";"D C";"24";"Adarabioyo, Tosin";"Fulham";"78.8% (CB)";"80.3% (CB)";"100%";"12.359.170";"50.000";"46.79%";"78.84%";"76.40%";"63.28%";"72.19%";"60.44%";"59.58%";"63.43%";"63.43%";"58.11%";"58.50%";"47.59%";"77.84%";"80.34%";"64.47%";"73.89%";"61.83%";"64.57%";"60.62%";"64.57%";"59.07%";"59.49%"
"84161929";"No";"Switzerland / Benin";"D C";"20";"Adeagbo, Enzo";"Lazio";"56.7% (CB)";"60.4% (CB)";"61%";"49.140";"510";"36.19%";"56.68%";"42.63%";"42.63%";"39.61%";"38.46%";"36.61%";"40.67%";"40.67%";"35.78%";"37.66%";"38.42%";"45.59%";"60.44%";"45.59%";"42.54%";"41.28%";"43.59%";"39.30%";"43.59%";"38.33%";"40.20%"
"28106711";"Yes";"Netherlands / Nigeria";"AM RLC, F C";"23";"Adekanye, Bobby";"Go Ahead Eagles";"70.0% (W)";"72.5% (W)";"59%";"966.250";"2.590";"40.55%";"52.51%";"55.35%";"55.35%";"53.00%";"53.74%";"66.67%";"69.72%";"69.96%";"66.76%";"65.70%";"41.76%";"57.40%";"54.50%";"57.40%";"55.53%";"56.26%";"72.25%";"68.99%";"72.50%";"68.94%";"67.89%"
"19409404";"No";"Brazil";"AM R";"27";"Ademir";"Bahia";"74.6% (W)";"77.2% (W)";"2%";"2.451.870";"11.570";"40.88%";"53.70%";"58.10%";"58.10%";"55.83%";"57.85%";"57.94%";"74.58%";"59.67%";"56.11%";"54.82%";"42.31%";"60.13%";"55.68%";"60.13%";"57.88%";"59.83%";"77.15%";"59.82%";"61.72%";"57.89%";"56.60%"
"29162928";"No";"England / Nigeria";"DM";"23";"Adeniran, Dennis";"Portimonense";"71.8% (M)";"78.4% (M)";"25%";"136.410";"3.500";"41.01%";"56.37%";"58.78%";"58.78%";"70.45%";"71.80%";"68.95%";"59.42%";"59.42%";"54.56%";"54.15%";"45.24%";"64.35%";"62.00%";"64.35%";"77.18%";"78.43%";"65.11%";"75.36%";"65.11%";"59.60%";"59.18%"
